(CET) 26/03/2023 01:34:06 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:37:01 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['test drive'])
(CET) 26/03/2023 01:37:01 | 1008145667622969397 | play_def -> ['test drive', False]
(CET) 26/03/2023 01:37:01 | 1008145667622969397 | queue_command_def -> ['test drive', None, True, False, True]
(CET) 26/03/2023 01:37:01 | 1008145667622969397 | search_command_def -> ['test drive', 'short', False, True]
(CET) 26/03/2023 01:37:06 | all | Updated guilds.json
(CET) 26/03/2023 01:37:06 | all | Updated guilds.json
(CET) 26/03/2023 01:37:11 | 1008145667622969397 | play_def -> [None, False]
(CET) 26/03/2023 01:37:13 | 1008145667622969397 | volume_command_def -> [100.0, False, True]
(CET) 26/03/2023 01:37:13 | all | Updated guilds.json
(CET) 26/03/2023 01:37:13 | all | Updated guilds.json
(CET) 26/03/2023 01:39:49 | 1008145667622969397 | play_def -> ['next', False]
(CET) 26/03/2023 01:40:06 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:40:06 | no guild | Loaded radio.json
(CET) 26/03/2023 01:40:06 | no guild | Loaded languages.json
(CET) 26/03/2023 01:40:06 | no guild | Loaded other.json
(CET) 26/03/2023 01:40:06 | no guild | Bot class initialized
(CET) 26/03/2023 01:40:06 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:40:06 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:40:09 | no guild | Trying to sync commands
(CET) 26/03/2023 01:40:09 | no guild | Synced slash commands for Testing Bot#3465
(CET) 26/03/2023 01:40:09 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 26/03/2023 01:40:17 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['where no one goes'])
(CET) 26/03/2023 01:40:17 | 1008145667622969397 | play_def -> ['where no one goes', False]
(CET) 26/03/2023 01:40:17 | 1008145667622969397 | queue_command_def -> ['where no one goes', None, True, False, True]
(CET) 26/03/2023 01:40:17 | 1008145667622969397 | search_command_def -> ['where no one goes', 'short', False, True]
(CET) 26/03/2023 01:40:20 | all | Updated guilds.json
(CET) 26/03/2023 01:40:20 | all | Updated guilds.json
(CET) 26/03/2023 01:40:22 | 1008145667622969397 | play_def -> [None, False]
(CET) 26/03/2023 01:40:22 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:42:05 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:42:05 | no guild | Loaded radio.json
(CET) 26/03/2023 01:42:05 | no guild | Loaded languages.json
(CET) 26/03/2023 01:42:05 | no guild | Loaded other.json
(CET) 26/03/2023 01:42:05 | no guild | Bot class initialized
(CET) 26/03/2023 01:42:05 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:42:05 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:42:08 | no guild | Trying to sync commands
(CET) 26/03/2023 01:42:09 | no guild | Synced slash commands for Testing Bot#3465
(CET) 26/03/2023 01:42:09 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 26/03/2023 01:42:11 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['where no one goes'])
(CET) 26/03/2023 01:42:11 | 1008145667622969397 | play_def -> ['where no one goes', False]
(CET) 26/03/2023 01:42:11 | 1008145667622969397 | queue_command_def -> ['where no one goes', None, True, False, True]
(CET) 26/03/2023 01:42:12 | 1008145667622969397 | search_command_def -> ['where no one goes', 'short', False, True]
(CET) 26/03/2023 01:42:15 | all | Updated guilds.json
(CET) 26/03/2023 01:42:15 | all | Updated guilds.json
(CET) 26/03/2023 01:42:16 | 1008145667622969397 | play_def -> [None, False]
(CET) 26/03/2023 01:42:16 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:42:18 | 1008145667622969397 | volume_command_def -> [100.0, False, True]
(CET) 26/03/2023 01:42:18 | all | Updated guilds.json
(CET) 26/03/2023 01:42:18 | all | Updated guilds.json
(CET) 26/03/2023 01:45:03 | 1008145667622969397 | play_def -> ['next', False]
(CET) 26/03/2023 01:48:37 | 1008145667622969397 | Command (zz_log) was requested by (Tomer27cz#4272) -- (options: ['log.txt'])
(CET) 26/03/2023 01:48:37 | 1008145667622969397 | log_command_def -> ['log.txt']
(CET) 26/03/2023 01:48:37 | all | Updated guilds.json
(CET) 26/03/2023 01:50:25 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:50:25 | no guild | Loaded radio.json
(CET) 26/03/2023 01:50:25 | no guild | Loaded languages.json
(CET) 26/03/2023 01:50:25 | no guild | Loaded other.json
(CET) 26/03/2023 01:50:25 | no guild | Bot class initialized
(CET) 26/03/2023 01:50:25 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:50:25 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:50:28 | no guild | Trying to sync commands
(CET) 26/03/2023 01:50:28 | no guild | Synced slash commands for Testing Bot#3465
(CET) 26/03/2023 01:50:28 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 26/03/2023 01:50:40 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['wind rose digi hole'])
(CET) 26/03/2023 01:50:40 | 1008145667622969397 | play_def -> ['wind rose digi hole', False]
